id,Name,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Population,Average Cost,Expenditure,Average Faculty Salary,Median Debt,Median Family Income,Median Earnings
p419,University of Arkansas,Public,Southeast,Small City,59,26,1156,20776,19917,8349,8902,14990,52612,39200
p1172,The University of Montana,Public,Rocky Mountains,Small City,94,24,1090,11630,17440,7041,9948,15259.5,36634,30900
p441,University of California-Santa Cruz,Public,Far West,Small City,60,23,1087,15695,33208,8338,12110,16500,58508,37800
p896,Saint Leo University,Private,Southeast,Small Suburb,77,0,0,11993,31609,3546,7100,17500,36785,41100
p628,American International College,Private,New England,Mid-size City,68,19,885,1513,40803,4924,5700,20726,49259,36100
p957,Citadel Military College of South Carolina,Public,Southeast,Mid-size City,80,23,1080,2660,24827,8968,8115,19500,83389,46400
p599,Carson-Newman University,Private,Southeast,Small Suburb,67,23,1064,1688,32446,6574,5577,15505,52873,32900
p155,University of California-Irvine,Public,Far West,Mid-size City,42,24,1122,23517,28980,17853,12839,15500,50385,47100
p1059,New Mexico State University-Main Campus,Public,Southwest,Mid-size Suburb,85,21,982,12886,17290,8494,7954,11147,26390.5,30200
p640,Lenoir-Rhyne University,Private,Southeast,Small City,68,21,976,1409,39425,7048,6600,17714,62412.5,33600
p910,Brenau University,Private,Southeast,Small City,78,20,957,1683,34107,6630,6737,18638,40713,38100
p174,University of Minnesota-Twin Cities,Public,Great Plains,Large City,44,28,1270,30271,24278,13003,10892,18822,72908.5,43300
p125,Spelman College,Private,Southeast,Large City,38,22,1024,2129,41635,11178,7514,25500,54315,40600
p414,Southeastern University,Private,Southeast,Small City,59,20,955,2633,30333,5231,6899,14250,55937,28300
p70,California Polytechnic State University-San Luis Obispo,Public,Far West,Small Suburb,31,28,1242,18664,23867,9907,8675,17500,72114,55400
p15,Vanderbilt University,Private,Southeast,Large City,13,33,1475,6794,59890,76995,12871,13000,74999.5,54400
p1171,Southern Wesleyan University,Private,Southeast,Large Suburb,94,19,916,1314,31054,6353,5258,23375,43811,36800
p296,University of Arkansas at Little Rock,Public,Southeast,Mid-size City,53,24,1077,8504,19894,7292,7480,14250,26332.5,31600
p1044,North Dakota State University-Main Campus,Public,Great Plains,Mid-size City,84,24,1091,11629,18277,7707,8163,17000,71695,41400
p583,Lindenwood University,Private,Great Plains,Small City,66,23,1045,7928,30193,3942,6787,20500,62127,35400
p06,Massachusetts Institute of Technology,Private,New England,Mid-size City,8,34,1503,4510,57010,58223,15617,13000,79076,86900
p116,Pepperdine University,Private,Far West,Large Suburb,37,0,1235,3516,58772,11299,11650,25000,60331,52100
p105,Connecticut College,Private,New England,Small City,36,0,0,1878,58690,18480,9574,20712.5,94160,44500
